ID,Hora de inicio,Hora de finalización,Email,Estudias,Pais,Estado,Ciudad,Nacionalidad,Año,Sexo,Genero ,Estudios,Tipo de Migrante,Residencia,Origen,Procedencia,País3,Estado4,Año 2,Razones,Estatus,Año 3,Pertenencia,Grupo,Discriminación,Contactos,Red,Bienestar 1,Bienestar 2,Bienestar 3,Bienstar 4,Bienestar 5,Bienestar 6,Acciones,Culminar,Justificación,Permanencia
57,8/15/25 15:59:29,8/15/25 16:03:16,anonymous,Si,Mexico,Atizapan de Zaragosa,CDMX,Mexicana,2004,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Morelos,2025,Estudios,Con familia,2025,Neutro,Si,No,Si,buena,Bien,Bien,Bien,Bien,Bien,Bien,de momento no tengo una en mente,Si,es un campus con muchas oportunidades,Si
58,8/15/25 16:54:00,8/15/25 16:57:09,anonymous,Si,Mexico,Puebla,Atlixco,Mexicana,2004,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).","No, voy y vengo todos los días de mi ciudad al campus (por ejemplo: de Atlixco, Tlaxcala, San Pedro Cholula, etc.).",Atlixco,,,,,,,2019,Neutro,No,No,Si,Pues amigos,Bien,Bien,Bien,Bien,Bien,Bien,"No tengo problema con el campus, pero sería factible que los horarios no estén tan dispersos, es decir gran cantidad de horas libres entre clases",No,No lo he pensado,No
59,8/15/25 17:57:02,8/15/25 17:58:36,anonymous,Si,Mexico,CDMX,Ciudad de México,Mexicano,2006,Masculino,Hombre,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
60,8/15/25 18:09:44,8/15/25 18:10:38,anonymous,Si,Mexico,Puebla,Puebla,Mexicana,2007,Masculino,No binario,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
61,8/15/25 18:14:14,8/15/25 18:14:54,anonymous,Si,Mexico,Puebla,Puebla,Mexicana,2006,Masculino,Hombre,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
62,8/15/25 19:51:15,8/15/25 19:52:12,anonymous,Si,Mexico,Puebla,Puebla,Mexicana,2005,Femenino,Mujer,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
63,8/15/25 21:05:39,8/15/25 21:07:33,anonymous,Si,Mexico,Veracruz,Martinez de la torre,Mexicana,2006,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Veracruz de Ignacio de la Llave,2022,Estudios,Solo(a),2022,De acuerdo,Si,No,Si,Muy bien,Muy bien,Neutro,Neutro,Neutro,Muy bien,Muy bien,Que se animen a convivir más para no sentirse solos,Si,Me gusta y tiene buen nivel en arquitectura,Si
64,8/15/25 21:09:57,8/15/25 21:13:30,anonymous,Si,Mexico,CDMX,Ciudad de México ,Mexicano ,2006,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Hidalgo,2025,Estudios,Con amistades,2025,Completamente de acuerdo,Si,No,Si,Muy buena ,Muy bien,Neutro,Muy bien,Bien,Bien,Muy bien,Algún medio de transporte como bicicletas o Scooter para trasladarse entre aulas.,Si,Mi carrera no esta completa en mi estado de origen ,Si
65,8/15/25 21:15:31,8/15/25 21:16:25,anonymous,Si,Mexico,Puebla,Puebla,Mexicana,2007,Femenino,Mujer,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
66,8/15/25 21:35:47,8/15/25 21:40:19,anonymous,Si,Mexico,Veracruz ,Coatzacoalcos ,Mexicana ,2006,Femenino,Mujer,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Veracruz de Ignacio de la Llave,2024,Estudios,Solo(a),2024,De acuerdo,Si,No,Si,Unos amigos cercanos que conocí en la uni,Bien,Neutro,Mal,Neutro,Bien,Mal,Apoyos en transportes y comida,No,Me gustaría graduarme en campus Monterrey ,No
67,8/15/25 22:20:46,8/15/25 22:24:13,anonymous,Si,Mexico,Hidalgo,Tulancingo de Bravo,Mexicana ,2002,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Hidalgo,2023,Estudios,Solo(a),2023,Completamente de acuerdo,Si,No,Si,Muy buena,Bien,Neutro,Mal,Mal,Mal,Neutro,Más psicológos que puedan apoyar,Si,Porque tengo una beca en el campus y quiero ejercer mi profesión muy probablemente allá,Si
68,8/16/25 15:04:46,8/16/25 15:05:47,anonymous,Si,Mexico,Puebla ,Puebla,Mexicana ,2006,Masculino,Hombre,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
69,8/17/25 0:04:57,8/17/25 0:05:44,anonymous,Si,Mexico,Puebla,Puebla,Mexicana,2007,Femenino,Mujer,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
70,8/18/25 7:15:41,8/18/25 7:30:09,anonymous,Si,Mexico,San Luis Potosi,San Luis Potosi,Mexicano,2005,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,San Luis Potosi,2024,Estudios,Solo(a),2024,De acuerdo,Si,No,Si,Solida y solidaria,Bien,Neutro,Neutro,Bien,Neutro,Bien,"Crear un grupo académico que ayude a todos los migrantes, a integrarse al campus y a la comunidad tec,  en caso de necesitarlo a la cultura y al país",Si,Porque estoy estudiando aquí,Si
